Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::Start Date Promo,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,1663.6074,490.2194243,1927.883012,0,1064.07068,1354.031756,4,26,,0,0,26,210,H2,Q1,112168,4,4
1010,37315,zzz,123,TP1,1/1/2018,1/31/2018,79.99,37,1,42.99,3839.094,1131.275594,4448.960798,0,2455.547724,3124.688668,4,60,,0,0,60,210,H2,Q1,112169,4,4
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,8190.0672,2413.387935,9491.116368,3840,3741.787008,4322.717295,2,128,,,128,128,210,H2,Q1,112170,2,2
1010,37315,zzz,123,TP1,1/1/2018,1/31/2018,79.99,37,1,42.99,6974.3541,2055.150663,8082.278782,0,3186.365499,6951.063947,2,109,,0,0,109,210,H2,Q1,112171,2,2
1010,37320,zzz,123,TP1,1/1/2018,1/31/2018,79.99,35,1,44.99,4798.8675,1414.094493,5561.200997,0,3069.434655,3905.860835,1,75,,0,0,75,210,H2,Q1,112172,1,1
1010,37321,zzz,123,TP1,1/1/2018,1/31/2018,79.99,44,1,35.99,19131.4851,5637.523379,22170.65464,0,12236.81282,15571.3652,1,299,,0,0,299,210,H2,Q1,112173,1,1
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,0,380.025243,829.0259753,3,13,,0,0,13,211,H2,Q4,112531,3,3
1010,37680,zzz,123,TP1,2/1/2018,2/28/2018,79.99,37,1,42.99,1983.5319,584.4923905,2298.629745,1147,906.214041,829.908095,3,31,,,31,31,211,H2,Q4,112532,3,3
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,1343.6829,395.9464581,1557.136279,780,859.4417034,313.6410339,4,21,,26,26,21,211,H2,Q4,112533,4,4
1010,37680,zzz,123,TP1,2/1/2018,2/28/2018,79.99,37,1,42.99,3071.2752,905.0204756,3559.168638,0,1964.438179,2499.750935,4,48,,0,0,48,211,H2,Q4,112534,4,4
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,6526.4598,1923.168511,7563.233356,4440,2981.736522,2064.665345,2,102,190,148,148,102,211,H2,Q4,112535,2,2
1010,37680,zzz,123,TP1,2/1/2018,2/28/2018,79.99,37,1,42.99,6974.3541,2055.150663,8082.278782,0,3186.365499,6951.063947,2,109,,0,0,109,211,H2,Q4,112536,2,2
1010,37685,zzz,123,TP1,2/1/2018,2/28/2018,79.99,35,1,44.99,9469.7652,2790.4798,10974.1033,5180,6057.017719,2527.565382,1,148,,,148,95,211,H2,Q4,112537,1,1
1010,37686,zzz,123,TP1,2/1/2018,2/28/2018,79.99,44,1,35.99,24378.2469,7183.600025,28250.90107,0,15592.72805,19841.77304,1,381,,0,0,381,211,H2,Q4,112538,1,1
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,1471.6527,433.6556446,1705.434972,270,672.352353,1196.738264,3,23,,9,9,23,212,H2,Q4,112897,3,3
1010,38046,zzz,123,TP1,3/1/2018,3/31/2018,79.99,37,1,42.99,5886.6108,1734.622578,6821.73989,1739,2689.409412,4127.953056,3,92,90,47,47,92,212,H2,Q4,112898,3,3
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,1151.7282,339.3826783,1334.688239,0,736.6643172,937.4066005,4,18,,0,0,18,212,H2,Q4,112899,4,4
1010,38046,zzz,123,TP1,3/1/2018,3/31/2018,79.99,37,1,42.99,2687.3658,791.8929161,3114.272558,0,1718.883407,2187.282068,4,42,,0,0,42,212,H2,Q4,112900,4,4
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,8701.9464,2564.224681,10084.31114,4620,3975.648696,4052.887126,2,136,217,154,154,136,212,H2,Q4,112901,2,2
1010,38046,zzz,123,TP1,3/1/2018,3/31/2018,79.99,37,1,42.99,6974.3541,2055.150663,8082.278782,0,3186.365499,6951.063947,2,109,,0,0,109,212,H2,Q4,112902,2,2
1010,38051,zzz,123,TP1,3/1/2018,3/31/2018,79.99,35,1,44.99,5374.7316,1583.785832,6228.545117,0,3437.766814,4374.564135,1,84,,0,0,84,212,H2,Q4,112903,1,1
1010,38052,zzz,123,TP1,3/1/2018,3/31/2018,79.99,44,1,35.99,21370.9566,6297.434143,24765.88177,0,13669.21566,17394.10025,1,334,,0,0,334,212,H2,Q4,112904,1,1
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,113457,2,2
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,211,H2,Q4,113458,2,2
